Zip Code,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop
2650,848,828,4,1,5,0,7,3
2651,16,15,0,0,0,0,0,1
2652,1175,1111,33,2,8,0,3,18
2653,5911,5709,53,7,45,1,30,66
2655,3518,3314,33,11,21,0,57,82
2657,2942,2691,118,18,18,1,46,50
2659,1108,1071,2,7,9,0,4,15
2660,6261,5876,131,29,41,3,75,106
2663,173,172,0,0,0,0,0,1
2664,9371,8654,217,25,130,0,160,185
2666,828,800,6,2,2,0,6,12
2667,2580,2496,22,7,14,0,15,26
2668,3278,3133,19,8,36,3,24,55
2669,285,263,5,0,5,0,9,3
2670,1307,1231,14,6,17,1,13,25
2671,1023,948,26,10,4,2,13,20
2672,180,170,1,0,2,0,5,2
2673,8402,7566,224,32,77,2,247,254
2675,6577,6353,49,15,61,1,31,67
2702,4125,3997,29,4,29,0,33,33
2703,43593,37975,1299,98,1978,39,1234,970
2713,52,51,0,0,0,0,0,1
2715,3123,3001,20,7,31,0,15,49
2717,4745,4553,52,9,26,0,50,55
