TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
48201450200,"Houston, TX",4872,48201450200,20,9.4,19,23.8,27.2,20.5,6.7,28.1,7.8,36.4,2.5,3.9,4.9,7.9,8.3,8.1,5.2,2.3,10.9,71.1,80.5,75.1,87.5,77.1,85,70.7,41.5,42.6
48201450300,"Houston, TX",7024,48201450300,19.9,14,25,28.3,33.1,18.1,7.9,27.3,5.5,33,2.5,4.5,4.4,9.1,11.3,10,11,2.4,20.9,69.1,65.4,70.8,81.3,76.3,82,62.9,33.3,34.6
48201450400,"Houston, TX",4503,48201450400,19.8,16.3,27,30,33.5,18.9,8.1,28.2,5.4,33.9,2.7,5.4,5,9.5,12.8,11.4,13.8,2.7,21.8,67.4,62.1,70.3,79,75.4,81,60.4,32.5,33.1
48201450500,"Houston, TX",2941,48201450500,17.1,7.9,18,23.5,26,24.2,6.6,33.3,9.4,41.6,2.8,4.3,6.1,9.9,7.3,8.4,4.8,2.6,9.4,74.8,80.5,80.2,90.1,78.3,84,73.3,40.9,43
48201450600,"Houston, TX",4310,48201450600,20.3,10.7,20,26.2,29.4,19.5,7.2,27.7,6.7,35.3,2.5,4.2,4.8,8.4,9.5,8.9,7.8,2.3,14.5,69.7,74,73.7,84.6,76.8,83,67.8,38,40.2
48201450700,"Houston, TX",6461,48201450700,19.7,7.8,17,23.4,26.2,21.5,6.6,29,8.5,38,2.5,3.7,5,7.9,7.5,7.7,5.1,2.2,8.7,72.4,81.2,76.7,89.1,77.6,85,71.4,41.7,43.1
48201450801,"Houston, TX",2170,48201450801,22,13.3,22,28.5,32.5,16.3,7.7,25.6,5,30.9,2.3,4,4.2,7.9,11.3,9,10.1,2.1,18.5,67.4,66.4,68.8,79.4,77.5,83,65,33.9,36.2
48201450802,"Houston, TX",5991,48201450802,20.1,16.7,28,32.3,35.4,16.9,8.2,27.7,4.6,31.4,2.7,4.9,4.6,9.4,13.2,11.1,15.9,2.6,25.3,67.1,56.3,67.8,77.2,77.4,83,57.4,29.2,30.5
48201450900,"Houston, TX",2434,48201450900,20.5,11.2,21,26.8,30.1,20.3,7,28.7,7,35.6,2.5,4.3,5,8.7,9.3,8.8,7.2,2.4,14.8,70.2,73.9,74.1,85,77,83,70.5,38.4,40.1
48201451001,"Houston, TX",4981,48201451001,20,16.7,28,33.2,36.9,17.2,8.2,28.7,4.5,32.3,2.7,4.9,4.7,10.1,13.3,11.3,17.2,2.6,25.3,67.9,52.5,68.1,78,76.3,81,55,27.2,28.1
